㐀	丘
蹟	跡kHKGlyph,kLau,kMatthews,kMeyerWempe 迹kHKGlyph,kLau,kMatthews,kMeyerWempe
蹠	跖kMeyerWempe
蹢	豴kMeyerWempe
蹤	踪kHKGlyph,kLau,kMatthews,kMeyerWempe
蹧	遭kLau,kMatthews
蹮	躚kMeyerWempe
蹴	蹵kMatthews,kMeyerWempe
蹵	蹴kMatthews,kMeyerWempe
蹹	蹋kMatthews
蹺	蹻kMatthews,kMeyerWempe
蹻	蹺kMatthews,kMeyerWempe
躁	趮kMatthews,kMeyerWempe
躅	䠱kMatthews
躋	隮kMatthews,kMeyerWempe
躍	趯kMatthews
躗	躛kMatthews
躚	蹮kMeyerWempe
躛	躗kMatthews
躧	屣kMatthews 蹝kMatthews
躬	躳kMatthews,kMeyerWempe
躭	眈kMatthews
躱	躲kMatthews
躲	躱kMatthews
躳	躬kMatthews,kMeyerWempe
躶	裸kLau,kMatthews
躷	矮kMatthews,kMeyerWempe
軄	職kLau,kMatthews
軆	体kFenn
軟	輭kHKGlyph,kLau,kMatthews,kMeyerWempe
軰	輩kMatthews,kMeyerWempe
軺	𨍳kMeyerWempe
輒	輙kMatthews
輙	輒kMatthews
輝	煇kFenn
輩	軰kMatthews,kMeyerWempe
輭	軟kHKGlyph,kLau,kMatthews,kMeyerWempe
輵	轕kMatthews
輿	轝kMatthews
轄	鎋kMatthews
轆	樚kMatthews
轕	輵kMatthews
轗	㙳kMeyerWempe
轝	輿kMatthews
辞	辤kMatthews 辭kMatthews
辠	罪kLau,kMatthews
辢	辣kLau,kMatthews,kMeyerWempe
辣	辢kLau,kMatthews,kMeyerWempe
辤	辞kMatthews 辭kLau,kMatthews
辦	办kFenn
辨	辯kMeyerWempe
辭	辞kMatthews 辤kLau,kMatthews
辯	辨kMeyerWempe
農	莀kMatthews
辵	辶kMatthews
辶	辵kMatthews
边	邊kMatthews,kMeyerWempe
迁	遷kMatthews,kMeyerWempe
过	過kLau,kMatthews,kMeyerWempe
迊	匝kMatthews 帀kMatthews
迕	忤kMeyerWempe
还	還kMatthews
这	這kLau,kMatthews
迨	逮kLau,kMatthews
迩	邇kMatthews
迪	廸kMatthews
迫	廹kMatthews,kMeyerWempe
迯	逃kMatthews
迴	廻kLau,kMatthews
迹	跡kHKGlyph,kLau,kMatthews,kMeyerWempe 蹟kHKGlyph,kLau,kMatthews,kMeyerWempe
迺	乃kMatthews 廼kMatthews
迻	移kMatthews
逃	迯kMatthews
逓	遞kMatthews
逖	逷kMatthews
這	这kLau,kMatthews
逮	迨kLau,kMatthews
週	周kLau
逷	逖kMatthews
逼	偪kMatthews,kMeyerWempe
逾	踰kMatthews,kMeyerWempe
遍	徧kMatthews,kMeyerWempe
過	过kLau,kMatthews,kMeyerWempe
遜	愻kFenn
遞	逓kMatthews
遡	泝kMatthews 溯kMeyerWempe
遭	蹧kLau,kMatthews
遶	繞kMatthews,kMeyerWempe
遷	迁kMatthews,kMeyerWempe
還	还kMatthews
邅	㣶kMeyerWempe
邇	迩kMatthews
邊	边kMatthews,kMeyerWempe
邕	雍kMatthews,kMeyerWempe 𪪝kMatthews 
邠	㟗kMatthews 豳kMatthews
邨	村kHKGlyph,kLau,kMatthews
郁	喐kMeyerWempe
郄	郤kMatthews
郤	郄kMatthews
郰	鄹kMatthews,kMeyerWempe
郷	鄉kMatthews
鄉	郷kMatthews 鄕kMatthews
鄔	塢kMeyerWempe
鄕	鄉kMatthews
鄰	隣kLau,kMatthews,kMeyerWempe
鄹	郰kMatthews,kMeyerWempe
酖	鴆kMatthews,kMeyerWempe
酧	酬kMatthews 醻kFenn
酬	酧kMatthews 醻kFenn
醇	䣩kLau,kMatthews,kMeyerWempe
醊	餟kMatthews
醡	榨kMatthews
醩	糟kMatthews
醫	医kMatthews
醻	酧kFenn 酬kFenn
釁	衅kMatthews,kMeyerWempe
野	埜kLau,kMatthews
釐	厘kLau,kMatthews,kMeyerWempe
金	釒kMatthews
釒	金kMatthews
針	箴kMeyerWempe 鍼kLau,kMatthews,kMeyerWempe
釬	銲kMatthews
鈀	耙kMatthews
鈆	鉛kMatthews
鈎	鉤kHKGlyph,kLau,kMatthews
鈞	銁kMatthews,kMeyerWempe
鉄	鐵kLau,kMatthews,kMeyerWempe 銕kMatthews
鉆	鉗kPhonetic 鑽kPhonetic
鉈	砣kMatthews 𥓿kFenn
鉋	刨kMatthews
鉏	鋤kLau,kMatthews,kMeyerWempe
鉗	鉆kPhonetic
鉛	鈆kMatthews
鉞	戉kMatthews,kMeyerWempe
鉢	缽kHKGlyph
鉤	鈎kHKGlyph,kLau,kMatthews
銁	鈞kMatthews,kMeyerWempe
銕	鉄kMatthews 鐵kMatthews
銜	㘅kMeyerWempe
銲	釬kMatthews
銹	鏽kFenn
鋑	鐫kMatthews 鑴kMatthews
鋤	鉏kLau,kMatthews,kMeyerWempe
鋪	舖kLau
錘	鎚kLau,kMeyerWempe
鍉	匙kMatthews
鍛	煅kLau,kMatthews
鍜	煆kMeyerWempe
鍫	鍬kMeyerWempe
鍬	鍫kMeyerWempe
鍰	鐶kMatthews
鍼	箴kMeyerWempe 針kLau,kMatthews,kMeyerWempe
鎋	轄kMatthews
鎌	鐮kLau,kMatthews,kMeyerWempe
鎏	鏐kMeyerWempe
鎒	耨kMatthews
鎔	熔kLau,kMatthews
鎖	鏁kMeyerWempe 鎻kMatthews
鎙	槊kMeyerWempe
鎚	錘kLau,kMeyerWempe
鎻	鎖kMatthews
鏁	鎖kMeyerWempe
鏐	鎏kMeyerWempe
鏢	鑣kLau
鏥	銹kMatthews 鏽kMatthews
鏰	斆kMatthews
鏽	銹kFenn
鏾	𠜎kMeyerWempe
鐀	匱kMatthews 櫃kMatthews
鐫	鋑kMatthews 鑴kMatthews
鐮	鎌kLau,kMatthews,kMeyerWempe
鐵	鉄kLau,kMatthews,kMeyerWempe 銕kMatthews
鐶	鍰kMatthews
鑑	鑒kHKGlyph,kMatthews,kMeyerWempe
鑒	鑑kHKGlyph,kMatthews,kMeyerWempe
鑚	鑽kMatthews
鑛	礦kLau,kMatthews,kMeyerWempe
鑢	䥨kMatthews,kMeyerWempe
鑣	鏢kLau
鑴	鋑kMatthews 鐫kMatthews
鑽	鉆kPhonetic 鑚kMatthews
門	门kMeyerWempe
閆	閻kMatthews
閙	鬧kLau,kMatthews,kMeyerWempe
関	闗kMatthews 關kMatthews 𨶹kLau
閧	鬨kMatthews
閹	剦kLau,kMatthews,kMeyerWempe
閻	閆kMatthews
闊	濶kLau,kMatthews,kMeyerWempe
闗	関kMatthews 關kMatthews,kMeyerWempe
關	寡kLau 関kMatthews 闗kMatthews,kMeyerWempe
门	門kMeyerWempe
阜	阝kMatthews
阝	阜kMatthews
阡	仟kFenn
阧	陡kMatthews
阨	阸kMatthews
阬	坑kMatthews
阱	穽kMatthews,kMeyerWempe
阳	氜kFenn 陽kMatthews
阴	陰kMatthews
阸	阨kMatthews
陀	陁kMatthews
陁	陀kMatthews
降	夅kMatthews
陗	峭kMatthews,kMeyerWempe
陜	狹kFenn
陡	阧kMatthews
陣	𨸬kLau
陰	阴kMatthews 隂kLau,kMatthews,kMeyerWempe
陶	匋kLau,kMatthews
陻	垔kMatthews,kMeyerWempe 堙kMatthews,kMeyerWempe
陼	渚kMatthews,kMeyerWempe
陽	氜kMatthews 阳kMatthews
隂	陰kLau,kMatthews,kMeyerWempe
隄	堤kMeyerWempe
隈	渨kMatthews,kMeyerWempe
隍	堭kMatthews
階	堦kMatthews
隐	隠kFenn
隕	磒kLau,kMatthews,kMeyerWempe
隖	塢kMatthews
隝	塢kLau
隠	隐kFenn
隣	鄰kLau,kMatthews,kMeyerWempe
隤	墤kMatthews,kMeyerWempe
隧	𡑞kLau,kMeyerWempe
隩	𡒃kMeyerWempe
隮	躋kMatthews,kMeyerWempe
隱	乚kMatthews
隲	騭kMatthews,kMeyerWempe
隷	隸kMatthews,kMeyerWempe
隸	隷kMatthews,kMeyerWempe
隼	鶽kMatthews 鵻kMeyerWempe
隽	雋kMatthews
难	難kLau,kMatthews
雁	鴈kLau,kMatthews,kMeyerWempe
集	亼kLau,kMatthews
雇	僱kLau,kMeyerWempe
雋	隽kMatthews
雍	邕kMatthews,kMeyerWempe 𪪝kMatthews 
雕	㓮kLau,kMatthews 彫kLau,kMatthews,kMeyerWempe
雙	双kMatthews
雛	鶵kMatthews,kMeyerWempe
雜	襍kMatthews
雝	簌kCowles 
雞	鷄kLau,kMatthews 鳮kFenn
難	难kLau,kMatthews
雱	霶kMeyerWempe
霜	孀kLau
霡	霢kMatthews
霢	霡kMatthews
霥	濛kMeyerWempe
霰	䨘kMatthews,kMeyerWempe
霶	雱kMeyerWempe
霸	覇kMeyerWempe
靀	濛kMatthews
靈	灵kFenn
靝	天kMatthews
靦	覥kMeyerWempe
靧	頮kMatthews
靭	韌kHKGlyph,kMatthews
靴	鞾kMatthews
鞀	鼗kMatthews 鞉kMatthews
鞉	鞀kMatthews 鼗kMatthews,kMeyerWempe
鞋	鞵kMatthews 𩋘kMeyerWempe
鞘	韒kFenn
鞙	琄kMeyerWempe
鞟	鞹kMatthews,kMeyerWempe
鞦	鞧kLau
鞧	鞦kLau
鞫	諊kMatthews,kMeyerWempe
鞲	韝kMatthews
鞴	絥kMatthews
鞵	鞋kMatthews
鞹	鞟kMatthews,kMeyerWempe
鞽	橇kFenn
鞾	靴kMatthews
韁	繮kLau,kMatthews
韂	䩞kMatthews
韈	襪kMatthews 韤kMatthews
韌	肕kLau 靭kHKGlyph,kMatthews
韒	鞘kFenn
韜	弢kLau,kMatthews,kMeyerWempe
韝	鞲kMatthews
韤	襪kMatthews 韈kMatthews
韭	韮kLau,kMatthews
韮	韭kLau,kMatthews
韵	韻kHKGlyph,kLau,kMatthews,kMeyerWempe
韻	韵kHKGlyph,kLau,kMatthews,kMeyerWempe
響	响kMatthews
頂	𩠑kFenn
須	湏kMatthews
頋	顧kLau,kMatthews
預	豫kLau,kMatthews,kMeyerWempe
頟	額kMatthews,kMeyerWempe
頣	頤kMatthews
頤	頣kMatthews
頫	俯kMatthews
頮	靧kMatthews
頴	穎kMatthews
頼	賴kLau,kMatthews,kMeyerWempe
顋	腮kLau,kMatthews,kMeyerWempe
額	頟kMatthews,kMeyerWempe
顕	顯kMatthews,kMeyerWempe
顖	囟kMatthews
願	愿kFenn
類	𩔗kLau,kMeyerWempe
顥	皓kMatthews 皝kMatthews
顦	憔kMatthews,kMeyerWempe
顧	頋kLau,kMatthews
顯	顕kMatthews,kMeyerWempe
顰	嚬kMatthews
顱	髗kMatthews
颮	猋kMatthews 飇kMatthews,kMeyerWempe
颼	䬒kMatthews,kMeyerWempe
飇	猋kMatthews 颮kMatthews,kMeyerWempe
食	飠kMatthews
飠	食kMatthews
飡	餐kMatthews,kMeyerWempe
飢	饑kLau,kMatthews,kMeyerWempe
飤	飼kMatthews,kMeyerWempe
飦	饘kMatthews,kMeyerWempe
飪	䏕kMatthews
飫	饇kMatthews
飼	飤kMatthews,kMeyerWempe
飾	餙kMatthews,kMeyerWempe
餂	舔kFenn
餅	餠kMatthews
餉	饟kMeyerWempe
餐	飡kMatthews,kMeyerWempe
餒	餧kMatthews
餙	飾kMatthews,kMeyerWempe
餚	肴kLau
餛	餫kMatthews,kMeyerWempe
餜	䴹kMatthews
餟	醊kMatthews
餠	餅kMatthews
餧	喂kFenn 餒kMatthews
館	舘kMatthews,kMeyerWempe
餫	餛kMatthews,kMeyerWempe
餱	糇kMatthews,kMeyerWempe
餵	諉kLau
餹	糖kMatthews
餻	糕kLau,kMatthews,kMeyerWempe
餽	饋kFenn
饇	飫kMatthews
饈	𦟤kFenn
饊	糤kMeyerWempe
饋	匱kLau 櫃kLau 餽kFenn
饌	䉵kMatthews 籑kMatthews
饍	膳kLau,kMatthews
饑	飢kLau,kMatthews,kMeyerWempe
饕	叨kMeyerWempe
饘	飦kMatthews,kMeyerWempe
饞	嚵kMatthews,kMeyerWempe
饟	餉kMeyerWempe
馘	聝kMatthews,kMeyerWempe
馚	馩kMatthews
馩	馚kMatthews
馭	御kMatthews
馱	䭾kFenn
馿	驢kMatthews
駁	駮kMatthews,kMeyerWempe
駛	𩢲kMeyerWempe
駢	騈kMatthews
駦	騰kLau,kMatthews,kMeyerWempe
駪	侁kMatthews,kMeyerWempe 詵kMeyerWempe
駮	駁kMatthews,kMeyerWempe
騈	駢kMatthews
騌	騣kMatthews
騐	驗kMatthews,kMeyerWempe
騗	騙kMatthews
騘	驄kMatthews
騙	騗kMatthews
騣	騌kMatthews
騭	隲kMatthews,kMeyerWempe
騰	駦kLau,kMatthews,kMeyerWempe
騾	驘kMatthews,kMeyerWempe
驄	騘kMatthews
驅	敺kLau,kMatthews
驊	𦽊kMeyerWempe
驗	騐kMatthews,kMeyerWempe
驘	騾kMatthews,kMeyerWempe
驢	馿kMatthews
骴	胔kMatthews 𦙼kMeyerWempe
骻	胯kMeyerWempe
骽	腿kMatthews
骾	挭kMatthews 鯁kMatthews
髃	腢kMatthews
體	体kMatthews
髕	臏kMatthews,kMeyerWempe
髗	顱kMatthews
高	髙kFenn
髙	高kFenn
髣	彷kMatthews,kMeyerWempe
髻	䯻kLau
髼	鬅kMeyerWempe
鬀	剃kLau,kMatthews,kMeyerWempe
鬂	鬢kMatthews
鬅	髼kMeyerWempe
鬒	㐱kMatthews
鬓	𩯭kMeyerWempe
鬢	鬂kMatthews
鬣	巤kMatthews,kMeyerWempe
鬥	鬭kLau,kMatthews,kMeyerWempe 鬬kMatthews 鬦kLau,kMeyerWempe 鬪kLau,kMatthews
鬦	鬥kLau,kMeyerWempe
鬧	閙kLau,kMatthews,kMeyerWempe
鬨	閧kMatthews
鬪	鬥kLau,kMatthews 鬬kFenn
鬬	鬥kMatthews 鬪kFenn
鬭	鬥kLau,kMatthews,kMeyerWempe
鬮	䰗kFenn
鬱	欝kMatthews,kMeyerWempe
魏	巍kMeyerWempe
魙	聻kMeyerWempe
魟	鰩kMatthews
魦	鯊kMatthews,kMeyerWempe
魷	鰌kLau
鮝	鯗kMatthews
鮧	鯷kMatthews
鮮	鱻kMatthews
鯁	挭kMatthews 骾kMatthews
鯊	魦kMatthews,kMeyerWempe
鯗	鮝kMatthews
鯧	䱽kLau,kMatthews,kMeyerWempe
鯷	鮧kMatthews
鰉	鱑kMatthews
鰌	魷kLau 鰍kMatthews,kMeyerWempe
鰍	鰌kMatthews,kMeyerWempe
鰐	鱷kLau,kMatthews
鰕	蝦kMeyerWempe
鰩	魟kMatthews
鰲	鼇kMatthews
鱉	鼈kMatthews
鱑	鰉kMatthews
鱓	䱇kMatthews 鱔kMatthews,kMeyerWempe
鱔	鱓kMatthews,kMeyerWempe
鱠	膾kMatthews
鱷	鰐kLau,kMatthews
鱻	鮮kMatthews
鳮	雞kFenn 鷄kFenn
鴃	鵙kMatthews
鴆	酖kMatthews,kMeyerWempe
鴈	雁kLau,kMatthews,kMeyerWempe
鴝	朐kMatthews 鸜kMatthews
鴞	梟kFenn
鴳	鷃kMatthews
鴺	鵜kMatthews,kMeyerWempe
鵙	鴃kMatthews
鵜	鴺kMatthews,kMeyerWempe
鵝	鵞kLau,kMeyerWempe
鵞	鵝kLau,kMeyerWempe
鵻	隼kMeyerWempe
鶂	鶃kMatthews,kMeyerWempe
鶃	鶂kMatthews,kMeyerWempe
鶯	鸎kMatthews
鶵	雛kMatthews,kMeyerWempe
鶽	隼kMatthews
鷃	鴳kMatthews
鷄	雞kLau,kMatthews 鳮kFenn
鷩	氅kFenn
鸎	鶯kMatthews
鸜	朐kMatthews 鴝kMatthews
鹻	堿kFenn 碱kLau 鹼kLau,kMatthews,kMeyerWempe
鹼	堿kFenn 碱kLau 鹻kLau,kMatthews,kMeyerWempe
鹽	䀋kLau 塩kMatthews 𥂁kMeyerWempe
麄	粗kMatthews 觕kMatthews 麤kMatthews
麇	麕kMatthews,kMeyerWempe
麐	麟kMatthews
麕	麇kMatthews,kMeyerWempe
麞	獐kMatthews
麟	麐kMatthews
麤	粗kMatthews 觕kMatthews 麄kMatthews
麪	麵kMeyerWempe
麫	麵kMatthews
麯	麴kMatthews,kMeyerWempe
麰	牟kMatthews
麴	麯kMatthews,kMeyerWempe
麵	麪kMeyerWempe 麫kMatthews
麻	蔴kFenn
麼	庅kMatthews 麽kHKGlyph,kLau
麽	庅kFenn 麼kHKGlyph,kLau
黏	粘kLau
默	嘿kFenn 黙
黙	默
點	点kLau,kMatthews,kMeyerWempe
鼃	蛙kMatthews,kMeyerWempe
鼄	蛛kMatthews
鼇	鰲kMatthews
鼈	鱉kMatthews
鼎	𪔂kFenn
鼏	冪kMeyerWempe 幂kMeyerWempe
鼓	皷kLau,kMatthews 鼔kLau,kMatthews
鼔	皷kLau,kMatthews 鼓kLau,kMatthews
鼗	鞀kMatthews 鞉kMatthews,kMeyerWempe
齁	𪖙kFenn
齅	嗅kMeyerWempe
齊	亝kMatthews 斉kMatthews
齋	斋kLau,kMatthews
齎	賫kMatthews
齦	啃kFenn
齧	囓kLau,kMatthews
齩	咬kLau,kMatthews
齶	腭kLau,kMatthews
龍	龒kHanYu:T
龎	龐kLau
龐	龎kLau
龒	龍kHanYu
龓	䪊kMatthews
龝	秋kMatthews
龠	籥
龡	吹kMatthews
龢	咊kLau,kMatthews 和kLau,kMatthews
龤	諧kMatthews
龥	籲kLau,kMatthews,kMeyerWempe
鿌	涼
益	益kMeyerWempe
礼	礼kMatthews 禮kMatthews
𠂝	眾kLau 衆kFenn
𠂤	𣳨kLau
𠆌	庸
𠊧	併kFenn
𠔃	兮kFenn
𠕄	凹kLau
𠖥	寵kFenn
𠗦	憑kHanYu,kMeyerWempe
𠚹	芟kMeyerWempe
𠜎	鏾kMeyerWempe
𠜼	掐kFenn
𠞰	剿kFenn
𠦌	卌kHanYu:T
𠭴	㑁
𠯗	咂kFenn
𠱓	𠼮kMeyerWempe
𠱘	𠸺kMeyerWempe
𠲿	欶kFenn
𠸺	𠱘kMeyerWempe
𠼮	𠱓kMeyerWempe
𡅈	嚹kMeyerWempe
𡈙	囮kFenn
𡑞	隧kLau,kMeyerWempe
𡒃	隩kMeyerWempe
𡚁	弊kFenn
𡜱	嫉kFenn
𡞾	嫩kMeyerWempe
𡨴	寧kMeyerWempe
𡱆	属kFenn 屬kFenn
𡲕	屜kFenn
𡻕	亗kFenn 岁kFenn 歲kLau,kMeyerWempe
𢂑	拭kFenn
𢅏	㡘 簾kLau
𢅖	簾kMeyerWempe
𢆞	䄯kFenn
𢊍	㕑kLau 厨kLau
𢐧	檠kMeyerWempe
𢕐	渹kMeyerWempe 訇kMeyerWempe
𢙢	恐kLau
𢙱	㑝kMeyerWempe
𢜫	惺kFenn
𢠳	憋kMeyerWempe
𢠵	惝kMeyerWempe
𢥠	悚kLau,kMeyerWempe
𢭆	抽kFenn
𢯱	搜kHanYu
𢰾	摠kLau 總kLau
𢲷	搜kFenn
𢳆	摮kMeyerWempe
𢳜	漇kMeyerWempe
𢶑	𢸣
𢶣	㩹kMatthews
𢸣	𢶑
𣁚	𣁟kHanYu
𣁟	𣁚kHanYu
𣄈	㫎kHanYu:T
𣇀	晡kHanYu:TZ
𣉞	暠kMeyerWempe
𣓌	槹kMeyerWempe
𣔼	竿kLau
𣳨	𠂤kLau
𤆍	赤kFenn
𤍠	熱kLau,kMeyerWempe
𤎱	臇kFenn
𤑕	熏
𤕭	将kFenn 將
𤕯	漿kFenn
𤢕	斁kMeyerWempe
𤢪	獵kTang
𤧚	璁kMeyerWempe
𤮨	礱kMeyerWempe
𥁕	昷kFenn
𥂁	鹽kMeyerWempe
𥅾	䚎kMeyerWempe
𥈟	瞍kHanYu,kMeyerWempe
𥋟	䂀
𥐘	石kHanYu
𥐞	硭kMeyerWempe
𥓿	砣kFenn 鉈kFenn
𥔀	渹kMeterWempe 訇kMeyerWempe
𥜌	澳kMatthews 襖kMatthews
𥝢	利kLau
𥥅	竉kMeyerWempe
𥫱	囤kLau
𥵚	竻kMeyerWempe
𥻟	糯kLau
𦀇	經kHanYu
𦂳	緊kHanYu:TZ
𦍩	羖kMeyerWempe
𦕒	䦓kMeyerWempe 覘kMeyerWempe
𦙵	腕kFenn
𦙶	股kLau,kMeyerWempe
𦙼	骴kMeyerWempe
𦚓	胓
𦞣	臊kHanYu:T
𦟤	饈kFenn
𦢌	殰kMeyerWempe
𦤎	臯kMeyerWempe
𦱄	菇kLau
𦲷	蒞kLau
𦷝	芻
𦽊	驊kMeyerWempe
𧋍	蜇kFenn
𧌓	蛗kHanYu
𧐅	蛆kMeyerWempe
𧐢	蠔kMeyerWempe
𧘂	衝kFenn
𧙀	𧞪kMatthews
𧞪	𧙀kMatthews
𧩙	誕kLau,kMeyerWempe
𧬨	噦kMeyerWempe
𧰊	磌kMeyerWempe
𧴯	孭kMeyerWempe
𧶶	販kFenn
𧸖	贃kFenn
𧿹	拇kMeyerWempe
𨃞	𨃟kFenn
𨃟	𨃞kFenn
𨈚	𨉉kMeyerWempe
𨉉	𨈚kMeyerWempe
𨍳	軺kMeyerWempe
𨑒	徒kFenn
𨢥	䤍
𨣦	藇kMeyerWempe
𨶹	関kLau
𨸚	級kFenn
𨸬	陣kLau
𨻲	罅kFenn
𩋘	鞋kMeyerWempe
𩔗	類kLau,kMeyerWempe
𩠑	頂kFenn
𩢲	駛kMeyerWempe
𩦢	虞kMeyerWempe
𩨘	肐kFenn 胳kFenn
𩯭	鬓kMeyerWempe
𪔂	鼎kFenn
𪖙	齁kFenn
𪪝	邕kMatthews 雍kMatthews 雝kMatthews
冗	冗kMeyerWempe
灰	灰kFenn
冒	冒kHKGlyph
